Handle,Title,Variant SKU,Image Src,Image Position
curly-tote-bag-boucle,Curly tote bag Boucle,RLL24SC8QBE,,
curly-tote-bag-boucle,,RLL24SC8QGN,,
curly-tote-bag,Curly tote bag,RLL24SC8SBK,,
curly-tote-bag,,RLL24SC8SSM,,
taco-shoulder-bag,Taco shoulder bag,RLL24SC5SBK,,
taco-shoulder-bag,,RLL24SC5SBN,,
taco-shoulder-bag,,RLL24SC5SIV,,
block-tote-bag,Block tote bag,RLL24SE1SBK,,
mini-pulpy-hobo-bag-suede,Mini pulpy hobo bag Suede,RLL24SC7UBE,,
mini-pulpy-hobo-bag-nylon,Mini pulpy hobo bag Nylon,RLL24SC7NBK,,
mini-pulpy-hobo-bag-nylon,,RLL24SC7NIV,,
pulpy-hobo-bag-nylon,Pulpy hobo bag Nylon,RLL24SC6NBK,,
pulpy-hobo-bag-nylon,,RLL24SC6NUM,,
around-hobo-bag,Around hobo bag,RLL24SC1SBK,,
around-hobo-bag,,RLL24SC1SIV,,
around-hobo-bag,,RLL24SC1SBN,,
root-nylon-backpack,Root nylon backpack,RLL24SC3SBK,,
root-nylon-backpack,,RLL24SC3SBE,,
root-nylon-backpack,,RLL24SC3SGR,,
tin-square-mini-tote,Tin square mini tote,RLL24SA2XBK,,
tin-square-mini-tote,,RLL24SA2XBN,,
tin-square-mini-tote,,RLL24SA2XCH,,
aline-large-shoulder-bag,Aline large shoulder bag,RLL24S06SBK,,
aline-large-shoulder-bag,,RLL24S06SUM,,
pebble-medium-shoulder-bag,Pebble medium shoulder bag,RLL24S65GBK,,
pebble-medium-shoulder-bag,,RLL24S65GIV,,
mini-around-hobo-bag,Mini around hobo bag,RLL24S66SBK,,
mini-around-hobo-bag,,RLL24S66SIV,,
mini-around-hobo-bag,,RLL24S66SBN,,
mini-around-hobo-bag,,RLL24S66SSM,,
mini-root-nylon-backpack,Mini root nylon backpack,RLL24SC4SBK,,
mini-root-nylon-backpack,,RLL24SC4SGR,,
mini-root-nylon-backpack,,RLL24SC4SSM,,
mini-root-nylon-backpack,,RLL24SC4NMU,,
rowie-shoulder-bag-nylon,Rowie shoulder bag Nylon,RLL24S37NBK,,
rowie-shoulder-bag-nylon,,RLL24S37NIV,,
tin-square-tote-bag,Tin square tote bag,RLL24SA1XBK,,
tin-square-tote-bag,,RLL24SA1XBN,,
pulpy-hobo-bag,Pulpy hobo bag,RLL24SC6SBK,,
pulpy-hobo-bag,,RLL24SC6SUM,,
pulpy-hobo-bag,,RLL24SC6SIB,,
tin-square-shoulder-bag,Tin square shoulder bag,RLL24SF2SBK,,
tin-square-shoulder-bag,,RLL24SF2SUM,,
tin-square-shoulder-bag,,RLL24SF2SIV,,
monks-backpack,Monks backpack,RLL24SF3NBK,,
monks-backpack,,RLL24SF3NMC,,
monks-backpack,,RLL24SF3NMU,,
tin-square-medium-tote-bag,Tin square medium tote bag,RLL24SF1XBK,,
tin-square-medium-tote-bag,,RLL24SF1XBN,,
tin-square-mini-tote-bag-jute,Tin square mini tote bag Jute,RLL24SA2FBK,,
tin-square-mini-tote-bag-jute,,RLL24SA2FCT,,
mini-pulpy-hobo-bag-jute,Mini pulpy hobo bag Jute,RLL24SC7FBK,,
mini-pulpy-hobo-bag-jute,,RLL24SC7FCT,,
pulpy-hobo-bag-jute,Pulpy hobo bag Jute,RLL24SC6FBK,,
pulpy-hobo-bag-jute,,RLL24SC6FCT,,
around-hobo-bag-jute,Around hobo bag Jute,RLL24SC1FBK,,
around-hobo-bag-jute,,RLL24SC1FCT,,
mini-around-hobo-bag-jute,Mini around hobo bag Jute,RLL24S66FBK,,
mini-around-hobo-bag-jute,,RLL24S66FCT,,